Month,Temperature
1994 Jul,10.5
1994 Aug,11
1994 Sep,12.2
1994 Oct,13.6
1994 Nov,15.7
1994 Dec,18.7
1995 Jan,19.7
1995 Feb,20.5
1995 Mar,19
1995 Apr,18.2
1995 May,14.4
1995 Jun,12
1995 Jul,10.9
1995 Aug,10.9
1995 Sep,12.8
1995 Oct,14.3
1995 Nov,15.6
1995 Dec,19
1996 Jan,20.6
1996 Feb,21.2
1996 Mar,17.8
1996 Apr,17.2
1996 May,13.3
1996 Jun,10.7
1996 Jul,11.1
1996 Aug,11.6
1996 Sep,13.9
1996 Oct,14.8
1996 Nov,15.9
1996 Dec,17.6
1997 Jan,18.6
1997 Feb,20.4
1997 Mar,18.7
1997 Apr,15.7
1997 May,14.8
1997 Jun,11
1997 Jul,10.1
1997 Aug,10.8
1997 Sep,12.4
1997 Oct,14.1
1997 Nov,16.2
1997 Dec,18.5
1998 Jan,20.1
1998 Feb,22.5
1998 Mar,20.1
1998 Apr,17.3
1998 May,14.8
1998 Jun,13.3
1998 Jul,13.4
1998 Aug,12.1
1998 Sep,13.7
1998 Oct,15.8
1998 Nov,16.9
1998 Dec,19
1999 Jan,22.1
1999 Feb,20.9
1999 Mar,20.4
1999 Apr,17
1999 May,14.7
1999 Jun,12.1
1999 Jul,11.3
1999 Aug,11.1
1999 Sep,13
1999 Oct,15.2
1999 Nov,17
1999 Dec,17.6
2000 Jan,19.4
2000 Feb,19.9
2000 Mar,18.7
2000 Apr,16.8
2000 May,14.9
2000 Jun,12.4
2000 Jul,13
2000 Aug,11.7
2000 Sep,13.1
2000 Oct,14.8
2000 Nov,15.1
2000 Dec,19.3
2001 Jan,19
2001 Feb,21.1
2001 Mar,18.9
2001 Apr,16.6
2001 May,15
2001 Jun,11.2
2001 Jul,10
2001 Aug,12
2001 Sep,13.4
2001 Oct,16.2
2001 Nov,16.6
2001 Dec,19.4
2002 Jan,19.5
2002 Feb,19.6
2002 Mar,19.3
2002 Apr,15.8
2002 May,14.6
2002 Jun,13.8
2002 Jul,11.2
2002 Aug,11.6
2002 Sep,13.3
2002 Oct,13.4
2002 Nov,15
2002 Dec,18.1
2003 Jan,19
2003 Feb,19.5
2003 Mar,19.1
2003 Apr,16.4
2003 May,14.5
2003 Jun,13.2
2003 Jul,10
2003 Aug,11.6
2003 Sep,13.6
2003 Oct,13.8
2003 Nov,15.9
2003 Dec,19
2004 Jan,20.6
2004 Feb,19.3
2004 Mar,17
2004 Apr,15.3
2004 May,14.4
2004 Jun,12.7
2004 Jul,10.4
2004 Aug,10.5
2004 Sep,12.3
2004 Oct,14.4
2004 Nov,16.2
2004 Dec,16
2005 Jan,19.3
2005 Feb,21.2
2005 Mar,19.8
2005 Apr,16.4
2005 May,15.2
2005 Jun,12
2005 Jul,12.2
2005 Aug,11.9
2005 Sep,13.9
2005 Oct,15
2005 Nov,16.3
2005 Dec,19.6
2006 Jan,20.3
2006 Feb,20.5
2006 Mar,18.7
2006 Apr,17.5
2006 May,14.2
2006 Jun,10.1
2006 Jul,10.4
2006 Aug,11.5
2006 Sep,13.8
2006 Oct,14.3
2006 Nov,16.3
2006 Dec,15.9
2007 Jan,19.5
2007 Feb,19.8
2007 Mar,19.7
2007 Apr,15.9
2007 May,15.1
2007 Jun,11.9
2007 Jul,11.5
2007 Aug,12.2
2007 Sep,13.3
2007 Oct,14.3
2007 Nov,15.7
2007 Dec,18.8
2008 Jan,21.2
2008 Feb,20.4
2008 Mar,19.6
2008 Apr,17
2008 May,12.7
2008 Jun,12.4
2008 Jul,11.3
2008 Aug,11.7
2008 Sep,13.1
2008 Oct,14.4
2008 Nov,16.4
2008 Dec,18.3
2009 Jan,19.7
2009 Feb,20.9
2009 Mar,18.1
2009 Apr,16.4
2009 May,12.2
2009 Jun,10
2009 Jul,10.4
2009 Aug,12.9
2009 Sep,13.4
2009 Oct,13.4
2009 Nov,16
2009 Dec,18.3
2010 Jan,19.9
2010 Feb,21.6
2010 Mar,19.1
2010 Apr,16.9
2010 May,14.3
2010 Jun,12.1
2010 Jul,10.6
2010 Aug,12.4
2010 Sep,13.6
2010 Oct,14.2
2010 Nov,16.8
2010 Dec,20.3
2011 Jan,20.6
2011 Feb,21.1
2011 Mar,18.8
2011 Apr,16.4
2011 May,15.4
2011 Jun,13.4
2011 Jul,11.5
2011 Aug,10.7
2011 Sep,12.3
2011 Oct,15.3
2011 Nov,16.2
2011 Dec,18.4
2012 Jan,19
2012 Feb,19.8
2012 Mar,17.8
2012 Apr,16.8
2012 May,13.4
2012 Jun,11.8
2012 Jul,11.2
2012 Aug,12.6
2012 Sep,13.2
2012 Oct,14.3
2012 Nov,15.6
2012 Dec,19.6
2013 Jan,20.3
2013 Feb,20.2
2013 Mar,19.8
2013 Apr,17.7
2013 May,14.1
2013 Jun,12.1
2013 Jul,11.4
2013 Aug,12.6
2013 Sep,13.6
2013 Oct,15.1
2013 Nov,17.6
2013 Dec,18.6
2014 Jan,19.1
2014 Feb,20.4
2014 Mar,18.4
2014 Apr,18
2014 May,14
2014 Jun,13.2
2014 Jul,10.9
2014 Aug,11.8
2014 Sep,13.6
2014 Oct,14.6
2014 Nov,15.5
2014 Dec,18.4
2015 Jan,21
2015 Feb,20.2
2015 Mar,20.1
2015 Apr,17
2015 May,13.8
2015 Jun,12.4
2015 Jul,10.7
2015 Aug,11.5
2015 Sep,12.8
2015 Oct,14.7
2015 Nov,16.2
2015 Dec,18.4
2016 Jan,20.9
2016 Feb,21.9
2016 Mar,20.1
2016 Apr,17.4
2016 May,16.3
2016 Jun,12.8
2016 Jul,11.7
2016 Aug,11.4
2016 Sep,13.8
2016 Oct,15.1
2016 Nov,16.5
2016 Dec,18
2017 Jan,19.3
2017 Feb,20.5
2017 Mar,19.7
2017 Apr,17.7
2017 May,13.8
2017 Jun,12.1
2017 Jul,11.2
2017 Aug,12.7
2017 Sep,13.8
2017 Oct,15.3
2017 Nov,17
2017 Dec,20.5
2018 Jan,22.5
2018 Feb,21.1
2018 Mar,19.9
2018 Apr,17.2
2018 May,14.8
2018 Jun,11.6
2018 Jul,11.3
2018 Aug,12.1
2018 Sep,13.1
2018 Oct,14.3
2018 Nov,16.4
2018 Dec,19.1
2019 Jan,21.1
2019 Feb,20.8
2019 Mar,20.1
2019 Apr,15.9
2019 May,15
2019 Jun,11.7
2019 Jul,12.1
2019 Aug,12.1
2019 Sep,13.3
2019 Oct,14.6
2019 Nov,17.4
2019 Dec,19.3
2020 Jan,19.9
2020 Feb,21.4
2020 Mar,19
2020 Apr,16.5
2020 May,14.1
2020 Jun,13.2
2020 Jul,11.7
2020 Aug,12.4
2020 Sep,13.3
2020 Oct,15.8
2020 Nov,17.6
2020 Dec,18.7
2021 Jan,20.4
2021 Feb,20.5
2021 Mar,19.4
2021 Apr,17.3
2021 May,14.4
2021 Jun,13.4
2021 Jul,11.6
2021 Aug,12.3
2021 Sep,13.3
2021 Oct,15.6
2021 Nov,18.2
2021 Dec,21
2022 Jan,21.6
2022 Feb,22.3
2022 Mar,20.3
2022 Apr,17.9
2022 May,15.2
2022 Jun,13.2
2022 Jul,13.1
2022 Aug,12.9
2022 Sep,13.6
2022 Oct,15.3
2022 Nov,17.7
2022 Dec,19.9
2023 Jan,20.4
2023 Feb,20.1
2023 Mar,18.2
2023 Apr,17.9
2023 May,15.7
2023 Jun,12.4
2023 Jul,12.2
2023 Aug,10.9
2023 Sep,14.2
2023 Oct,15.3
2023 Nov,16.7
2023 Dec,19.6
2024 Jan,21.6
